文件名	音素序号	音素	音素起点时间	音素末点时间	是否为元音	音素末边界类型	音素内音高重音类型	所在词语序号	所在词语	词语起点时间	词语末点时间	词末边界类型	词内音高重音类型	
AM-M-4_35impolite	7	dow%	1.541	1.696	1	1	NULL	4	window	1.223	1.696	1	!H*
AM-M-4_35impolite	8	p	1.696	1.852	0	0	NULL	5	please	1.696	2.330	4	L** && L-L%
AM-M-4_35impolite	9	liyz%	1.852	2.330	1	4	L** && L-L%	5	please	1.696	2.330	4	L** && L-L%
AM-M-4_35impolite	10	sil	2.330	2.625	0	0	NULL	6	sil	2.330	2.625	0	NULL
AM-M-4_39impolite	1	sil	0	0.609	0	0	NULL	1	sil	0	0.609	0	NULL
AM-M-4_39impolite	2	t	0.609	0.756	0	0	NULL	2	turn	0.609	1.105	1	H*
AM-M-4_39impolite	3	ahn%	0.756	1.105	1	1	H*	2	turn	0.609	1.105	1	H*
AM-M-4_39impolite	4	dhah%	1.105	1.279	1	1	NULL	3	the	1.105	1.279	1	NULL
AM-M-4_39impolite	5	rey%	1.279	1.443	1	0	NULL	4	radio	1.279	1.907	2	!H*
AM-M-4_39impolite	6	diyow%	1.443	1.907	1	2	!H*	4	radio	1.279	1.907	2	!H*
AM-M-4_39impolite	7	aa	1.907	2.238	1	0	H**	5	off	1.907	2.457	4	H**
AM-M-4_39impolite	8	f%	2.238	2.457	0	4	NULL	5	off	1.907	2.457	4	H**
AM-M-4_39impolite	9	sil	2.457	2.750	0	0	L-L%	6	sil	2.457	2.750	0	L-L%
AM-M-4_7polite	1	sil	0	0.990	0	0	NULL	1	sil	0	0.990	0	NULL
AM-M-4_7polite	2	t	0.990	1.070	0	0	NULL	2	turn	0.990	1.337	1	H*
AM-M-4_7polite	3	ahn%	1.070	1.337	1	1	H*	2	turn	0.990	1.337	1	H*
AM-M-4_7polite	4	dhah%	1.337	1.445	1	1	NULL	3	the	1.337	1.445	1	NULL
AM-M-4_7polite	5	rey%	1.445	1.689	1	0	L+H*	4	radio	1.445	1.837	1	L+H*
AM-M-4_7polite	6	diyow%	1.689	1.837	1	1	NULL	4	radio	1.445	1.837	1	L+H*
AM-M-4_7polite	7	aa	1.837	2.060	1	0	!H**	5	off	1.837	2.507	4	!H** && L-L%
AM-M-4_7polite	8	f%	2.060	2.507	0	4	L-L%	5	off	1.837	2.507	4	!H** && L-L%
AM-M-4_7polite	9	sil	2.507	2.562	0	0	L-L%	6	sil	2.507	2.562	0	L-L%
AM-M-5_12polite	1	sil	0	0.410	0	0	NULL	1	sil	0	0.410	0	NULL
AM-M-5_12polite	2	sh	0.410	0.604	0	0	NULL	2	Shut	0.410	0.801	1	H*
AM-M-5_12polite	3	ah	0.604	0.697	1	0	H*	2	Shut	0.410	0.801	1	H*
AM-M-5_12polite	4	t%	0.697	0.801	0	1	NULL	2	Shut	0.410	0.801	1	H*
AM-M-5_12polite	5	dhah%	0.801	0.904	1	1	NULL	3	the	0.801	0.904	1	NULL
AM-M-5_12polite	6	wihn%	0.904	1.188	1	0	L+H**	4	window	0.904	1.560	4	L+H** && L-L%
AM-M-5_12polite	7	dow%	1.188	1.560	1	4	L-L%	4	window	0.904	1.560	4	L+H** && L-L%
AM-M-5_12polite	8	sil	1.560	3.062	0	0	L-L%	5	sil	1.560	3.062	0	L-L%
AM-M-5_2polite	1	sil	0	1.456	0	0	NULL	1	sil	0	1.456	0	NULL
AM-M-5_2polite	2	yuw%	1.456	1.646	1	1	NULL	2	You	1.456	1.646	1	NULL
AM-M-5_2polite	3	k	1.646	1.682	0	0	NULL	3	could	1.646	1.797	1	NULL
AM-M-5_2polite	4	uhd%	1.682	1.797	1	1	NULL	3	could	1.646	1.797	1	NULL
AM-M-5_2polite	5	s	1.797	1.928	0	0	NULL	4	send	1.797	2.052	1	H*
AM-M-5_2polite	6	ehnd%	1.928	2.052	1	1	H*	4	send	1.797	2.052	1	H*
AM-M-5_2polite	7	aen%	2.052	2.193	1	1	NULL	5	an	2.052	2.193	1	NULL
AM-M-5_2polite	8	iy%	2.193	2.321	1	0	L+H**	6	email	2.193	2.709	4	L+H** && !H-H%
AM-M-5_2polite	9	meyl%	2.321	2.709	1	4	!H-H%	6	email	2.193	2.709	4	L+H** && !H-H%
AM-M-5_2polite	10	sil	2.709	4.062	0	0	!H-H%	7	sil	2.709	4.062	0	!H-H%
AM-M-5_32impolite	1	sil	0	0.528	0	0	NULL	1	sil	0	0.528	0	NULL
AM-M-5_32impolite	2	yuw%	0.528	0.716	1	1	NULL	2	You	0.528	0.716	1	NULL
AM-M-5_32impolite	3	k	0.716	0.795	0	0	NULL	3	could	0.716	0.931	1	NULL
AM-M-5_32impolite	4	uhd%	0.795	0.931	1	1	NULL	3	could	0.716	0.931	1	NULL
AM-M-5_32impolite	5	s	0.931	1.165	0	0	NULL	4	send	0.931	1.542	2p	H*
AM-M-5_32impolite	6	ehnd%	1.165	1.542	1	2p	H*	4	send	0.931	1.542	2p	H*
AM-M-5_32impolite	7	aen%	1.542	1.760	1	1	NULL	5	an	1.542	1.760	1	NULL
AM-M-5_32impolite	8	iy%	1.760	1.959	1	0	!H**	6	email	1.760	2.410	4	!H** && L-L%
AM-M-5_32impolite	9	meyl%	1.959	2.410	1	4	L-L%	6	email	1.760	2.410	4	!H** && L-L%
AM-M-5_32impolite	10	sil	2.410	3.437	0	0	L-L%	7	sil	2.410	3.437	0	L-L%
AM-M-5_35impolite	1	sil	0	0.375	0	0	NULL	1	sil	0	0.375	0	NULL
AM-M-5_35impolite	2	sh	0.375	0.562	0	0	NULL	2	Shut	0.375	0.734	1	H*
AM-M-5_35impolite	3	ah	0.562	0.698	1	0	H*	2	Shut	0.375	0.734	1	H*
AM-M-5_35impolite	4	t%	0.698	0.734	0	1	NULL	2	Shut	0.375	0.734	1	H*
AM-M-5_35impolite	5	dhah%	0.734	0.837	1	1	NULL	3	the	0.734	0.837	1	NULL
